feature,fscore
BUK_std_no_payment_in_72h_per_bus_cat_most_used,0.001597444089456869
BUK_mean_no_screens_1h_per_bus_cat_most_used,0.001597444089456869
BUK_mean_no_bus_created_24h_per_third_key_event,0.001597444089456869
BUK_mean_no_bus_created_24h_per_source_l2,0.001597444089456869
BUK_no_sale_w_cogs_24h,0.001597444089456869
BUK_std_no_sessions_12h_per_city,0.001597444089456869
BUK_std_no_screens_24h_per_source_l2,0.001597444089456869
BUK_mean_no_bus_created_12h_per_city,0.001597444089456869
BUK_mean_no_payment_out_72h_per_city,0.001597444089456869
BUK_mean_time_to_register_from_installation_per_city,0.001597444089456869
BUK_no_sale_w_cogs_12h,0.001597444089456869
BUK_mean_time_to_third_event_from_registration_per_first_key_event,0.001597444089456869
BUK_mean_no_sale_12h_per_city,0.001597444089456869
BUK_mean_no_bus_created_12h_per_first_key_event,0.001597444089456869
BUK_mean_no_purchase_12h_per_third_key_event,0.001597444089456869
BUK_std_no_sale_1h_per_bus_cat_most_used,0.001597444089456869
BUK_mean_no_sessions_1h_per_bus_cat_most_used,0.001597444089456869
BUK_std_no_screens_72h_per_first_key_event,0.001597444089456869
BUK_mean_no_sale_72h_per_bus_cat_most_used,0.001597444089456869
BUK_std_time_to_register_from_otp_per_bus_cat_most_used,0.001597444089456869
BUK_std_no_sessions_12h_per_source_l2,0.001597444089456869
BUK_mean_no_inventory_1h_per_city,0.001597444089456869
BUK_std_time_to_register_from_installation_per_third_key_event,0.001597444089456869
BUK_mean_time_to_second_event_from_installation_per_third_key_event,0.001597444089456869
BUK_first_key_event_count,0.0010649627263045794
BUK_mean_no_sale_w_cogs_1h_per_source_l2,0.0010649627263045794
BUK_std_no_bus_created_24h_per_third_key_event,0.0010649627263045794
BUK_std_no_sale_72h_per_source_l2,0.0010649627263045794
BUK_std_no_sessions_24h_per_source_l2,0.0010649627263045794
BUK_std_no_payment_out_1h_per_bus_cat_most_used,0.0010649627263045794
BUK_std_no_screens_24h_per_source_l1,0.0010649627263045794
BUK_std_no_bus_created_1h_per_second_key_event,0.0010649627263045794
BUK_std_no_sale_w_cogs_24h_per_bus_cat_most_used,0.0010649627263045794
BUK_mean_no_payment_in_1h_per_bus_cat_most_used,0.0010649627263045794
BUK_std_no_bus_created_24h_per_source_l1,0.0010649627263045794
BUK_std_no_bus_created_72h_per_city,0.0010649627263045794
BUK_mean_no_sale_w_cogs_72h_per_source_l2,0.0010649627263045794
BUK_std_no_bus_created_12h_per_city,0.0010649627263045794
BUK_std_no_bus_created_12h_per_source_l1,0.0010649627263045794
BUK_std_time_to_second_event_from_installation_per_source_l2,0.0010649627263045794
BUK_mean_no_bus_created_12h_per_bus_cat_most_used,0.0010649627263045794
BUK_mean_no_payment_out_24h_per_city,0.0010649627263045794
BUK_std_no_sale_72h_per_first_key_event,0.0010649627263045794
BUK_mean_no_sessions_12h_per_source_l2,0.0010649627263045794
BUK_first_key_event_user_segment_count,0.0010649627263045794
BUK_mean_time_to_register_from_otp_per_source_l2,0.0010649627263045794
BUK_std_no_sale_1h_per_second_key_event,0.0010649627263045794
BUK_std_time_to_receive_otp_from_installation_per_source_l2,0.0010649627263045794
BUK_std_no_sale_72h_per_third_key_event,0.0010649627263045794
BUK_std_no_purchase_1h_per_bus_cat_most_used,0.0010649627263045794
BUK_std_no_bus_created_1h_per_source_l2,0.0010649627263045794
BUK_std_no_screens_24h_per_third_key_event,0.0010649627263045794
